Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,China,167992,167369,1057626,722578,6.3,176
2,United States,126158,123332,1296212,444998,10.27,278
3,Japan,37948,37612,316956,85620,8.35,155
4,United Kingdom,28998,28176,335914,64609,11.58,170
5,India,24872,24300,215787,68150,8.68,141
6,Germany,24407,23963,231800,48820,9.5,151
7,Russian Federation,23361,23196,55495,22485,2.38,69
8,Canada,22908,22465,332093,62436,14.5,177
9,France,17569,17230,203486,43210,11.58,139
10,South Korea,16004,15848,176965,34607,11.06,124
11,Italy,15880,15411,184184,45471,11.6,127
12,Iran,13131,12983,119550,39184,9.1,94
13,Brazil,12705,12559,99136,24398,7.8,103
14,Australia,12635,12397,157471,27620,12.46,131
15,Spain,12478,12270,195663,36353,15.68,138
16,Taiwan,8520,8466,123023,19079,14.44,121
17,Turkey,7586,7493,134499,30068,17.73,126
18,Norway,7443,7365,64529,14463,8.67,90
19,Netherlands,7018,6887,81156,11253,11.56,104
20,Sweden,6229,6085,93087,15202,14.94,118
21,Malaysia,5947,5807,52824,13288,8.88,87
22,Denmark,5180,5015,67703,11611,13.07,106
23,Switzerland,4849,4751,64054,9975,13.21,99
24,Saudi Arabia,4542,4458,40928,6171,9.01,75
25,Poland,4529,4420,39819,9093,8.79,68
26,Mexico,4349,4230,34712,6339,7.98,67
27,Egypt,3929,3881,33196,5432,8.45,70
28,Greece,3838,3766,63411,9079,16.52,98
29,Ukraine,3776,3637,8065,2795,2.14,30
30,Belgium,3755,3646,41330,5712,11.01,80
31,Singapore,3708,3585,58645,6016,15.82,99
32,Portugal,3531,3375,39411,6708,11.16,79
33,Hong Kong,3312,3273,55469,5938,16.75,94
34,South Africa,2861,2822,22154,3976,7.74,60
35,Finland,2764,2699,31821,5178,11.51,71
36,Austria,2617,2528,24072,2847,9.2,66
37,Romania,2420,2398,9319,2124,3.85,40
38,Thailand,2403,2374,30944,3984,12.88,75
39,Czech Republic,2363,2326,10079,2432,4.27,43
40,Algeria,1866,1832,14070,2896,7.54,52
41,United Arab Emirates,1715,1689,12744,1424,7.43,49
42,Israel,1639,1611,20763,2847,12.67,67
43,Argentina,1558,1536,16319,2346,10.47,54
44,Ireland,1546,1522,25544,3164,16.52,73
45,Colombia,1543,1524,13885,1748,9,49
46,Indonesia,1516,1506,7059,937,4.66,37
47,New Zealand,1444,1413,17938,1891,12.42,57
48,Nigeria,1291,1274,6389,1194,4.95,37
49,Pakistan,1237,1206,7699,1560,6.22,37
50,Tunisia,1120,1110,7321,1356,6.54,40
51,Hungary,1112,1094,7318,1520,6.58,39
52,Venezuela,1096,1091,9342,942,8.52,48
53,Bangladesh,1092,1075,4137,617,3.79,28
54,Kuwait,1076,1059,9460,1129,8.79,47
55,Chile,963,933,10085,1367,10.47,46
56,Slovakia,932,917,3502,903,3.76,27
57,Serbia,891,882,6347,1170,7.12,37
58,Slovenia,802,780,10230,1119,12.76,49
59,Croatia,801,777,5025,949,6.27,30
60,Bulgaria,797,791,8808,1253,11.05,47
61,Estonia,796,764,4511,1974,5.67,26
62,Qatar,776,764,4975,763,6.41,31
63,Morocco,724,714,4243,657,5.86,32
64,Jordan,681,671,9923,916,14.57,50
65,Oman,633,631,4693,492,7.41,33
66,Iraq,615,615,3346,452,5.44,26
67,Azerbaijan,584,584,844,193,1.45,12
68,Lithuania,521,505,2400,566,4.61,22
69,Viet Nam,497,486,2798,256,5.63,25
70,Belarus,434,431,1471,299,3.39,19
71,Kazakhstan,419,416,1082,203,2.58,14
72,Lebanon,394,391,4734,441,12.02,35
73,Latvia,389,387,1085,321,2.79,13
74,Cyprus,288,279,7332,403,25.46,38
75,Philippines,255,251,1812,308,7.11,25
76,Libya,254,253,1514,82,5.96,20
77,Ecuador,250,249,437,85,1.75,11
78,Cuba,239,233,1423,200,5.95,19
79,Iceland,219,210,658,136,3,12
80,Trinidad and Tobago,205,203,732,75,3.57,14
81,Brunei Darussalam,201,192,1307,132,6.5,18
82,Sri Lanka,189,179,2283,155,12.08,19
83,Macedonia,185,184,1601,108,8.65,22
84,Kenya,176,173,1875,34,10.65,14
85,Peru,175,174,413,51,2.36,11
86,Bahrain,165,161,1457,52,8.83,19
87,Bosnia and Herzegovina,145,144,882,125,6.08,17
88,Luxembourg,126,121,771,84,6.12,16
89,Moldova,123,108,160,63,1.3,7
90,Armenia,113,113,771,312,6.82,14
91,Uruguay,112,110,1144,105,10.21,19
92,Ghana,109,108,292,20,2.68,8
93,Syrian Arab Republic,100,99,1046,101,10.46,17
94,Macao,100,99,463,35,4.63,10
95,Nepal,98,98,359,27,3.66,10
96,Puerto Rico,96,94,911,52,9.49,13
97,Cameroon,94,93,647,99,6.88,14
98,Ethiopia,84,82,340,49,4.05,8
99,Palestine,81,80,761,63,9.4,16
100,Uzbekistan,78,77,227,49,2.91,8
101,Tanzania,75,74,913,86,12.17,18
102,Sudan,73,73,353,25,4.84,10
103,Costa Rica,66,65,192,37,2.91,7
104,Paraguay,66,66,275,30,4.17,8
105,Mauritius,64,64,160,9,2.5,5
106,Angola,62,62,196,3,3.16,8
107,Georgia,61,58,63,7,1.03,4
108,Malta,54,54,200,41,3.7,7
109,Uganda,48,48,122,12,2.54,6
110,Monaco,43,43,89,29,2.07,5
111,Yemen,43,43,346,43,8.05,11
112,Montenegro,43,43,109,30,2.53,6
113,Botswana,42,40,127,5,3.02,6
114,Bolivia,41,37,298,11,7.27,9
115,Mongolia,40,40,181,29,4.53,7
116,Albania,38,38,246,17,6.47,8
117,Zambia,35,35,51,5,1.46,4
118,Fiji,35,35,284,19,8.11,10
119,Burkina Faso,35,35,401,31,11.46,12
120,Senegal,29,29,421,9,14.52,11
121,Zimbabwe,28,27,44,4,1.57,3
122,Mozambique,28,26,79,12,2.82,5
123,Namibia,28,26,42,4,1.5,4
124,El Salvador,24,24,39,5,1.63,4
125,Jamaica,24,24,88,0,3.67,5
126,Congo,22,22,35,4,1.59,3
127,Myanmar,18,18,147,25,8.17,5
128,Laos,17,17,24,0,1.41,3
129,Panama,16,16,51,5,3.19,5
130,Benin,15,15,28,2,1.87,3
131,Nicaragua,15,15,32,1,2.13,3
132,Cambodia,14,14,62,1,4.43,3
133,Rwanda,13,13,27,5,2.08,3
134,Tajikistan,13,13,93,42,7.15,5
135,North Korea,13,13,106,0,8.15,4
136,Niger,12,11,101,4,8.42,5
137,Liechtenstein,12,12,70,4,5.83,5
138,Côte d’Ivoire,12,11,162,4,13.5,6
139,Malawi,11,11,83,4,7.55,4
140,Gabon,11,11,78,0,7.09,4
141,Lesotho,10,9,50,5,5,3
142,Afghanistan,10,10,9,2,0.9,2
143,Guatemala,10,10,12,1,1.2,2
144,Bhutan,9,9,53,0,5.89,3
145,Kyrgyzstan,9,9,6,0,0.67,2
146,Papua New Guinea,9,9,16,4,1.78,3
147,Dominican Republic,9,9,28,2,3.11,3
148,Faroe Islands,9,9,34,9,3.78,4
149,Turkmenistan,8,8,15,0,1.88,3
150,Madagascar,8,8,128,2,16,3
151,Swaziland,7,7,28,0,4,3
152,Suriname,7,7,23,0,3.29,2
153,Barbados,7,7,21,3,3,3
154,Eritrea,7,7,16,1,2.29,2
155,Sierra Leone,6,6,24,2,4,2
156,Guinea,6,6,6,0,1,2
157,Djibouti,5,5,31,0,6.2,3
158,Guadeloupe,5,5,0,0,0,0
159,Equatorial Guinea,5,5,28,0,5.6,2
160,Honduras,5,5,5,2,1,2
161,Chad,4,4,1,0,0.25,1
162,New Caledonia,4,4,29,1,7.25,2
163,Mauritania,4,4,15,0,3.75,1
164,Bermuda,4,4,14,0,3.5,1
165,Togo,4,4,0,0,0,0
166,Greenland,3,3,94,0,31.33,3
167,Mali,3,3,5,0,1.67,1
168,Netherlands Antilles,3,3,11,0,3.67,1
169,American Samoa,3,3,1,0,0.33,1
170,Samoa,3,3,19,1,6.33,1
171,Cape Verde,3,3,24,0,8,2
172,French Guiana,3,3,4,1,1.33,1
173,Nauru,2,2,2,0,1,1
174,Saint Lucia,2,2,0,0,0,0
175,Haïti,2,2,8,1,4,2
176,Guyana,2,2,0,0,0,0
177,Andorra,2,2,18,0,9,1
178,Seychelles,2,2,9,2,4.5,1
179,Maldives,2,1,1,0,0.5,1
180,Burundi,2,2,27,0,13.5,1
181,Antigua and Barbuda,2,2,1,1,0.5,1
182,Cayman Islands,2,2,4,0,2,1
183,Bahamas,1,1,0,0,0,0
184,Gibraltar,1,1,0,0,0,0
185,Gambia,1,1,0,0,0,0
186,Liberia,1,1,14,0,14,1
187,Reunion,1,1,4,1,4,1
188,Palau,1,1,0,0,0,0
189,British Indian Ocean Territory,1,1,51,0,51,1
190,Kiribati,1,1,0,0,0,0
191,Christmas Island,1,1,0,0,0,0
192,Belize,1,1,9,0,9,1
193,Saint Helena,1,1,43,0,43,1
